,danceability,instrumentalness,energy,acousticness,explicit,speechiness,valence,popularity_artist,pop_three
0,0.644,2.22e-05,0.212,0.8809999999999999,0,0.0347,0.441,34,1
1,0.627,0.000162,0.184,0.955,0,0.045,0.299,34,1
2,0.581,1.4999999999999999e-05,0.331,0.888,0,0.243,0.642,34,1
3,0.442,0.000499,0.39899999999999997,0.93,0,0.078,0.5539999999999999,34,1
4,0.57,0.0,0.17600000000000002,0.9490000000000001,0,0.299,0.348,34,1
5,0.565,0.0,0.153,0.9109999999999999,0,0.37799999999999995,0.434,34,1
6,0.598,2.3199999999999998e-05,0.212,0.932,0,0.0406,0.172,34,1
7,0.3670000000000001,0.0,0.307,0.879,0,0.0568,0.284,34,1
8,0.638,0.0,0.19,0.9259999999999999,0,0.485,0.41700000000000004,34,1
9,0.7,0.0,0.16399999999999998,0.914,0,0.40299999999999997,0.31,34,1
10,0.10800000000000001,0.0149,0.254,0.9620000000000001,0,0.0407,0.0362,2,1
11,0.27699999999999997,0.643,0.9570000000000001,1.04e-06,0,0.107,0.109,21,2
12,0.158,0.0219,0.855,0.0303,0,0.078,0.0612,35,2
13,0.57,0.0,0.77,0.0006,0,0.0471,0.8320000000000001,12,1
14,0.633,0.0,0.6940000000000001,0.424,0,0.4970000000000001,0.76,8,1
15,0.6990000000000001,0.883,0.5579999999999999,0.165,0,0.0541,0.39799999999999996,30,2
16,0.711,0.0,0.0983,0.778,0,0.899,0.359,29,2
17,0.0692,0.6729999999999999,0.285,0.7,0,0.0482,0.0312,37,2
18,0.26899999999999996,0.9079999999999999,0.0833,0.973,0,0.0347,0.106,13,2
19,0.314,0.795,0.0855,0.9690000000000001,0,0.0342,0.161,18,1
20,0.345,0.878,0.135,0.9570000000000001,0,0.0313,0.249,0,2
21,0.634,0.66,0.402,0.938,0,0.0347,0.9490000000000001,17,2
22,0.556,0.0,0.631,0.0026,0,0.0306,0.365,0,1
23,0.49,0.835,0.311,0.915,0,0.0453,0.42100000000000004,13,2
